date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:11	207/207	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2018:19:10%20GMT	https://cqxseg8ipu.mobirisesite.com/robots.txt		(from )
20:19:11	21152/21152	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2018:19:11%20GMT	https://cqxseg8ipu.mobirisesite.com/	C:/My%20Web%20Sites/yyyyyy/cqxseg8ipu.mobirisesite.com/index.html	(from )
20:19:12	3297/3297	---M--	200	added ('OK')	image/png	etag:%22b0613c9d7bd5c6c05d226db08acb0508%22	https://r.mobirisesite.com/1581833/assets/images/logo.png?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/logoe14d.png	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:12	8719/8719	---MCZ	200	added ('OK')	text/css	etag:W/%22de94d5403c55d82c656b75faadf1a7d3%22	https://r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:13	155585/155585	---MCZ	200	added ('OK')	text/css	etag:W/%22a868817cc1196143d0f062547aa8a967%22	https://r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap.min.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:13	51452/51452	---MCZ	200	added ('OK')	text/css	etag:W/%22e1b9ee0c34dab98a647193619182adae%22	https://r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap-grid.min.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:13	4617/4617	---MCZ	200	added ('OK')	text/css	etag:W/%22fe22eb40bccf202f876ca3d07d4c1e06%22	https://r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:13	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://r.mobirisesite.com/1581833/assets/dropdown/css/style.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/dropdown/css/style.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:13	15529/15529	---MCZ	200	added ('OK')	text/css	etag:W/%22683320584edd0b9d2e9ed5c011a0c445%22	https://r.mobirisesite.com/1581833/assets/socicon/css/styles.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/socicon/css/styles.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:14	14947/14947	---MCZ	200	added ('OK')	text/css	etag:W/%223f84ed983b7ef10b504b8406864c5146%22	https://r.mobirisesite.com/1581833/assets/theme/css/style.css	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/theme/css/style.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:14	33046/33046	---MCZ	200	added ('OK')	text/css	etag:W/%22117c651251432806905b9e6bdc4115df%22	https://r.mobirisesite.com/1581833/assets/mobirise/css/mbr-additional.css?v=jSErzl	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/mobirise/css/mbr-additional7880.css	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:14	9771/9771	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2018:19:14%20GMT	https://cqxseg8ipu.mobirisesite.com/etap2-teoria.html	C:/My%20Web%20Sites/yyyyyy/cqxseg8ipu.mobirisesite.com/etap2-teoria.html	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:14	9732/9732	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2018:19:14%20GMT	https://cqxseg8ipu.mobirisesite.com/etap3-zespol.html	C:/My%20Web%20Sites/yyyyyy/cqxseg8ipu.mobirisesite.com/etap3-zespol.html	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:15	67510/67510	---M--	200	added ('OK')	image/jpeg	etag:%224fbe19c0e942fbee8da43f6b3363589b%22	https://r.mobirisesite.com/1581833/assets/images/dodaj-troche-tresci-5-1024x1024.jpg-1024x1024.jpg?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/dodaj-troche-tresci-5-1024x1024.jpg-1024x1024e14d.jpg	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:15	24231/24231	---M--	200	added ('OK')	image/jpeg	etag:%22734e1626d5e79cb8cc3056b6a5c52311%22	https://r.mobirisesite.com/1581833/assets/images/28-609x609.jpg?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/28-609x609e14d.jpg	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:15	15296/15296	---M--	200	added ('OK')	image/jpeg	etag:%2255f7754dd546ac5f12c0387f767621cf%22	https://r.mobirisesite.com/1581833/assets/images/29-561x561.jpg?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/29-561x561e14d.jpg	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:15	18394/18394	---M--	200	added ('OK')	image/jpeg	etag:%220768fa1ce6c7dce74d7990079ab6ab17%22	https://r.mobirisesite.com/1581833/assets/images/31-561x561.jpg?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/31-561x561e14d.jpg	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:15	23016/23016	---M--	200	added ('OK')	image/jpeg	etag:%2277db887cdd1dd9fdef213f179a2c21eb%22	https://r.mobirisesite.com/1581833/assets/images/projekt-bez-nazwy-5-561x561.jpg?v=1UsGiw	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/images/projekt-bez-nazwy-5-561x561e14d.jpg	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:16	78699/78699	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2307f14f0542ab4d4c9e8449229ea22%22	https://r.mobirisesite.com/1581833/assets/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/bootstrap/js/bootstrap.bundle.min.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:16	7548/7548	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223a0a7b791595ef13b030c4a0632c723%22	https://r.mobirisesite.com/1581833/assets/smoothscroll/smooth-scroll.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/smoothscroll/smooth-scroll.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:16	27466/27466	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ced24829f26825c36110f0bbd1a8b79%22	https://r.mobirisesite.com/1581833/assets/ytplayer/index.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/ytplayer/index.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:16	3595/3595	---MCZ	200	added ('OK')	application/javascript	etag:W/%22791fa31552fc28004910071d482feb8d%22	https://r.mobirisesite.com/1581833/assets/dropdown/js/navbar-dropdown.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/dropdown/js/navbar-dropdown.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:16	26053/26053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d442fa5d82b65dbad78e57ceeaf6a48b%22	https://r.mobirisesite.com/1581833/assets/vimeoplayer/player.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/vimeoplayer/player.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:17	39482/39482	---MCZ	200	added ('OK')	application/javascript	etag:W/%2209c4764b5001eaefb4929154fa4833eb%22	https://r.mobirisesite.com/1581833/assets/theme/js/script.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/theme/js/script.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:17	9708/9708	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259374053a063b8a7b7014e3222555cd7%22	https://r.mobirisesite.com/1581833/assets/formoid/formoid.min.js	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/formoid/formoid.min.js	(from https://cqxseg8ipu.mobirisesite.com/)
20:19:18	25468/25468	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22385866f21466d026cef79ed73d2e93cb%22	https://r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.css)
20:19:18	25280/25280	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a915592fd82d5a2f17cbbc795a6c31e8%22	https://r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	C:/My%20Web%20Sites/yyyyyy/r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://r.mobirisesite.com/1581833/assets/web/assets/mobirise-icons2/mobirise2.css)
